id,japanese,japaneseAllHiragana,english,level
161,え―と,え―と,嗯，我看看,
162,行きます,いきます,去,
163,来ます,きます,来,
164,帰ります,かえります,回家，回去,
165,学校,がっこう,学校,0
166,スーパー,スーパー,超级市场,1
167,駅,えき,车站;火车站,1
168,飛行機,ひこうき,飞机,2
169,船,ふね,船,1
170,電車,でんしゃ,电车,1
171,地下鉄,ちかてつ,地下铁,1
172,新幹線,しんかんせん,新干线,3
173,バス,バス,公车，巴士,1
174,タクシー,タクシー,计程车,1
175,自転車,じてんしゃ,自行车，脚踏车,2
176,歩いて,あるいて,步行,
177,人,ひと,人,0
178,友達,ともだち,朋友,0
179,彼,かれ,他，男朋友，情人,1
180,彼女,かのじょ,她，女朋友，情人,1
181,家族,かぞく,家人，家属,1
182,一人で,ひとりで,一个人，独自,
183,先週,せんしゅう,上周，上星期,0
184,今週,こんしゅう,本周，这星期,0
185,来週,らいしゅう,下周，下星期,0
186,先月,せんげつ,上个月,1
187,今月,こんげつ,这个月,0
188,来月,らいげつ,下个月,1
189,去年,きょねん,去年,1
190,ことし,ことし,今年,0
191,来年,らいねん,明年,0
192,…月,…がつ,…月,
193,何月,なんがつ,几月,1
194,1日,ついたち,1日，1号,0
195,2日,ふつか,2日，2号,0
196,3日,みっか,3日，3号,0
197,4日,よっか,4日，4号,0
198,5日,いつか,5日，5号,0
199,6日,むいか,6日，6号,0
200,7日,なのか,7日，7号,0
201,8日,ようか,8日，8号,0
202,9日,ここのか,9日，9号,0
203,10日,とおか,10日，10号,0
204,14日,じゅうよっか,14日，14号,
205,20日,はつか,20日，20号,
206,24日,にじゅうよっか,24日，24号,
207,…日,…にち,…日，…号,
208,何日,なんにち,几日，几号,
209,いつ,いつ,什么时候,1
210,誕生日,たんじょうび,生日,3
211,普通,ふつう,普通车,0
212,急行,きゅうこう,快车,0
213,次の,つぎの,下一个，下一次,0
214,食べます,たべます,吃,
215,飲みます,のみます,喝，饮，服用,
216,吸います,すいます,吸（烟）［たばこを～］,
217,見ます,みます,看,
218,聞きます,ききます,听,
219,読みます,よみます,阅读,
220,書きます,かきます,书写,
221,買います,かいます,购买,
222,撮ります,とります,拍（照），（摄影）［しゃしんを～］［写真を～］,
223,します,します,做,
224,会います,あいます,遇见，碰见（朋友）［ともだちに～］［友達に～］,
225,ごはん,ごはん,餐，米饭,1
226,朝ごはん,あさごはん,早餐,3
227,昼ごはん,ひるごはん,中餐,3
228,晩ごはん,ばんごはん,晚餐,3
229,パン,パン,面包,1
230,卵,たまご,鸡蛋,2
231,肉,にく,肉,2
232,魚,さかな,鱼,0
233,野菜,やさい,蔬菜,0
234,果物,くだもの,水果,2
235,水,みず,水,0
236,お茶,おちゃ,茶,0
237,紅茶,こうちゃ,红茶,0
238,牛乳,ぎゅうにゅう,牛奶（ミルク）,0
239,ジュース,ジュース,果汁,1
240,ビール,ビール,啤酒,1
241,［お］酒,［お］さけ,酒类，日本酒,0
242,ビデオ,ビデオ,录影带，录影机,1
243,映画,えいが,电影,1
244,CD,CD,CD，雷射唱盘,
245,手紙,てがみ,信,0
246,レポート,レポート,报告,2
247,写真,しゃしん,相片,0
248,店,みせ,商店,2
249,レストラン,レストラン,餐厅,1
250,庭,にわ,院子,0
251,宿題,しゅくだい,作业（～をします：做作业）,0
252,テニス,テニス,网球（～をします：打网球）,1
253,サッカー,サッカー,足球（～をします：踢足球）,1
254,［お］花見,［お］はなみ,赏花（～をします：去赏花）,3
255,何,なに,什么,1
256,いっしょに,いっしょに,一起,0
257,ちょっと,ちょっと,一下子，稍,1
258,いつも,いつも,总是,1
259,時々,ときどき,时常，有时,2
260,それから,それから,然后,4
261,ええ,ええ,是，嗯（表赞同）,
262,いいですね。,いいですね。,好呀。,
263,わかりました。,わかりました。,我明白了。/我知道了。,
264,切ります,きります,剪，切,
265,送ります,おくります,寄送,
266,あげます,あげます,给，送,
267,もらいます,もらいます,接受，得到,
268,貸します,かします,借（出）,
269,借ります,かります,借（入）,
270,教えます,おしえます,教,
271,習います,ならいます,学习,
272,かけます,かけます,打（电话）［でんわを～］［电話を～］,
273,手,て,手,1
274,はし,はし,筷子,1
275,スプーン,スプーン,汤匙,2
276,ナイフ,ナイフ,小刀,1
277,フォーク,フォーク,叉子,1
278,はさみ,はさみ,剪刀,3
279,ファクス,ファクス,传真,1
280,ワープロ,ワープロ,文字处理机,0
281,パソコン,パソコン,个人电脑,0
282,パンチ,パンチ,打孔机,1
283,ホッチキス,ホッチキス,订书机,1
284,セロテープ,セロテープ,透明胶带,3
285,消しゴム,けしゴム,橡皮擦,0
286,紙,かみ,纸,2
287,花,はな,花,2
288,シャツ,シャツ,衬衫,1
289,プレゼント,プレゼント,礼物,2
290,荷物,にもつ,行李,1
291,お金,おかね,钱,0
292,切符,きっぷ,票,0
293,クリスマス,クリスマス,圣诞节,3
294,父,ちち,家父,1
295,母,はは,家母,1
296,お父さん,おとうさん,（他人的）父亲,2
297,お母さん,おかあさん,（他人的）母亲,2
298,もう,もう,已经,1
299,まだ,まだ,尚未，还没有,1
300,これから,これから,从现在起，这就,4
301,「～、」すてきですね。,「～、」すてきですね。,〔～〕，好棒哟！,
302,ハンサム［な］,ハンサム［な］,英俊〔的〕,1
303,きれい［な］,きれい［な］,美丽（的），干净（的）,1
304,静か［な］,しずか［な］,安静（的）,1
305,にぎやか［な］,にぎやか［な］,热闹的,2
306,有名［な］,ゆうめい［な］,有名〔的〕,0
307,親切［な］,しんせつ［な］,亲切（的）,1
308,元気［な］,げんき［な］,身体好（的）,1
309,暇［な］,ひま［な］,空闲（的）,0
310,便利［な］,べんり［な］,方便〔的〕,1
311,すてき［な］,すてき［な］,很好〔的〕，很棒〔的〕,0
312,大きい,おおきい,大,3
313,小さい,ちいさい,小,3
314,新しい,あたらしい,新,4
315,古い,ふるい,旧,2
316,いい（よい）,いい（よい）,好,1
317,悪い,わるい,坏,2
318,暑い、熱い,あつい,热,2
319,寒い,さむい,寒冷,2
320,冷たい,つめたい,凉,3
321,難しい,むずかしい,难,4
322,易しい,やさしい,简单,3
323,高い,たかい,高，贵,2
324,安い,やすい,便宜,2
325,低い,ひくい,低，矮,2
326,おもしろい,おもしろい,有趣，有意思,4
327,おいしい,おいしい,美味，好吃,3
328,忙しい,いそがしい,忙碌,4
329,楽しい,たのしい,愉快，高兴,3
330,白い,しろい,白色的,2
331,黒い,くろい,黑色的,2
332,赤い,あかい,红色的,0
333,青い,あおい,蓝色的,2
334,桜,さくら,櫻花,0
335,山,やま,山,2
